timestamp,origin,destination,distance_km,duration_traffic_min,duration_normal_min,congestion_level
02:49.1,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,57,40,Moderate
02:59.6,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
03:10.0,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
03:20.4,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,36,25,Moderate
03:30.7,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
03:41.2,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,40,26,High
03:51.7,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,50,28,High
04:02.1,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
04:12.5,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,40,26,High
04:23.0,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
04:33.5,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
04:44.0,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,28,17,High
04:54.3,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
05:04.7,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
05:15.1,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
05:25.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,52,36,Moderate
05:36.2,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,43,24,High
05:46.8,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
05:57.4,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,57,40,Moderate
06:08.0,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
06:18.3,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
06:29.0,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
06:39.4,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,23,12,High
06:49.7,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,19,10,High
07:00.2,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
07:10.8,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
07:21.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
07:31.6,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
07:41.9,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
07:52.4,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,44,24,High
08:04.1,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
08:14.9,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,53,36,Moderate
08:25.8,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,37,25,Moderate
08:36.7,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
08:47.2,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
08:58.1,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
09:08.9,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
09:19.6,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
09:30.2,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
09:40.7,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,23,12,High
09:51.2,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,44,24,High
10:02.1,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
10:12.7,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
10:23.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
10:33.8,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
10:44.3,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,45,24,High
10:55.1,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
11:05.7,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,53,36,Moderate
11:16.3,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
11:26.9,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,57,40,Moderate
11:37.5,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,53,36,Moderate
11:48.1,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,23,15,High
11:58.7,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,28,19,Moderate
12:12.1,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,42,26,High
12:22.9,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,45,24,High
12:33.5,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
12:44.2,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,50,28,High
12:54.6,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
13:05.3,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,37,25,Moderate
13:16.1,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,37,25,Moderate
13:26.6,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,8,6,Moderate
13:37.3,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,42,26,High
13:47.8,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
13:58.2,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,37,25,Moderate
14:08.8,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,57,40,Moderate
14:19.6,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,23,15,High
14:30.1,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
14:40.6,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
14:51.3,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,53,36,Moderate
15:02.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
15:13.3,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,42,26,High
15:24.1,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
15:35.0,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,37,25,Moderate
15:45.6,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,28,19,Moderate
15:56.3,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,58,40,Moderate
16:07.1,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,43,26,High
16:17.7,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,53,36,Moderate
16:28.3,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.1,28,19,Moderate
16:38.7,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,9,6,High
16:49.3,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
16:59.8,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
17:10.4,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
17:20.9,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
17:31.6,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
17:42.3,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,45,24,High
17:52.9,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
18:03.7,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,43,26,High
18:14.0,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,9,6,High
18:24.5,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,37,25,Moderate
18:34.8,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
18:45.2,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
18:55.5,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
19:05.9,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
19:16.3,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
19:26.7,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
19:37.0,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
19:47.5,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
19:57.8,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
20:08.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
20:18.6,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,53,36,Moderate
20:29.0,"Satellite, Ahmedabad, India","Naranpura, Ahmedabad, India",5.3,23,13,High
20:39.3,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
20:49.8,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
21:00.3,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,45,24,High
21:10.6,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
21:21.5,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,59,40,Moderate
21:32.0,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",10.9,46,28,High
21:42.3,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",10.9,46,28,High
21:52.7,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,32,22,Moderate
22:03.0,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,22,15,Moderate
22:13.4,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
22:23.7,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
22:34.3,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
22:44.8,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
22:55.1,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
23:05.7,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
23:16.5,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,37,25,Moderate
23:26.9,"Navrangpura, Ahmedabad, India","Vastrapur, Ahmedabad, India",4.6,22,12,High
23:37.5,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
23:48.4,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
23:59.0,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,37,25,Moderate
24:09.5,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
24:20.5,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",10.9,46,28,High
24:31.1,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",10.9,46,28,High
24:41.7,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",10.9,46,28,High
24:52.2,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,45,24,High
25:03.0,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
25:13.8,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,54,36,High
25:24.3,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
25:35.1,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
25:45.6,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,45,24,High
25:56.3,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,43,26,High
26:06.8,"Ashram Road, Ahmedabad, India","Vasna, Ahmedabad, India",7.2,23,15,High
26:17.5,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,29,17,High
26:28.1,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,30,17,High
26:38.7,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
26:49.7,"Jodhpur, Ahmedabad, India","Prahlad Nagar, Ahmedabad, India",2.2,9,6,High
27:00.7,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,45,24,High
27:11.7,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
27:22.4,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,32,22,Moderate
27:33.0,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,43,26,High
27:45.3,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
27:55.8,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,30,17,High
28:06.4,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
28:16.9,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,32,22,Moderate
28:27.2,"Gandhigram, Ahmedabad, India","Memnagar, Ahmedabad, India",6.6,30,17,High
28:37.6,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,45,24,High
28:48.1,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,40,40,Low
28:58.5,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,32,22,Moderate
29:09.0,"Narol, Ahmedabad, India","Motera, Ahmedabad, India",21,40,40,Low
29:19.4,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,38,25,High
29:29.7,"Ellis Bridge, Ahmedabad, India","Iscon, Ahmedabad, India",0.3,1,1,Low
29:40.2,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
29:50.7,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,32,22,Moderate
30:01.2,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,43,26,High
30:11.6,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,32,22,Moderate
30:21.9,"Gulbai Tekra, Ahmedabad, India","Drive-In Road, Ahmedabad, India",3.3,18,10,High
30:32.3,"CG Road, Ahmedabad, India","Gota, Ahmedabad, India",10.4,43,26,High
30:42.8,"SG Highway, Ahmedabad, India","Naroda, Ahmedabad, India",28.5,42,42,Low
30:53.2,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,38,25,High
31:03.6,"Nikol, Ahmedabad, India","Shahibaug, Ahmedabad, India",10.1,38,25,High
31:13.9,"Maninagar, Ahmedabad, India","Bapunagar, Ahmedabad, India",8.6,31,22,Moderate
31:24.4,"Bopal, Ahmedabad, India","Chandkheda, Ahmedabad, India",24.5,55,36,High
31:35.0,"Kankaria, Ahmedabad, India","Judges Bungalow, Ahmedabad, India",9.5,51,28,High
31:45.4,"Paldi, Ahmedabad, India","Thaltej, Ahmedabad, India",9,46,24,High
